Time Step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
4,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
6,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
8,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
